path,class,filename
Dataset/brain_tumor_dataset/meningioma/1506.jpg,meningioma,1506.jpg
Dataset/brain_tumor_dataset/glioma/1523.jpg,glioma,1523.jpg
Dataset/brain_tumor_dataset/healthy/0307.jpg,healthy,0307.jpg
Dataset/brain_tumor_dataset/meningioma/0473.jpg,meningioma,0473.jpg
Dataset/brain_tumor_dataset/healthy/0655.jpg,healthy,0655.jpg
Dataset/brain_tumor_dataset/healthy/0171.jpg,healthy,0171.jpg
Dataset/brain_tumor_dataset/meningioma/1621.jpg,meningioma,1621.jpg
Dataset/brain_tumor_dataset/healthy/1660.jpg,healthy,1660.jpg
Dataset/brain_tumor_dataset/healthy/0310.jpg,healthy,0310.jpg
Dataset/brain_tumor_dataset/glioma/1442.jpg,glioma,1442.jpg
Dataset/brain_tumor_dataset/meningioma/0919.jpg,meningioma,0919.jpg
Dataset/brain_tumor_dataset/glioma/1432.jpg,glioma,1432.jpg
Dataset/brain_tumor_dataset/pituitary/1067.jpg,pituitary,1067.jpg
Dataset/brain_tumor_dataset/pituitary/1284.jpg,pituitary,1284.jpg
Dataset/brain_tumor_dataset/healthy/1254.jpg,healthy,1254.jpg
Dataset/brain_tumor_dataset/healthy/1113.jpg,healthy,1113.jpg
Dataset/brain_tumor_dataset/pituitary/0994.jpg,pituitary,0994.jpg
Dataset/brain_tumor_dataset/meningioma/0411.jpg,meningioma,0411.jpg
Dataset/brain_tumor_dataset/healthy/1994.jpg,healthy,1994.jpg
Dataset/brain_tumor_dataset/pituitary/0169.jpg,pituitary,0169.jpg
Dataset/brain_tumor_dataset/healthy/1643.jpg,healthy,1643.jpg
Dataset/brain_tumor_dataset/glioma/0930.jpg,glioma,0930.jpg
Dataset/brain_tumor_dataset/pituitary/1568.jpg,pituitary,1568.jpg
Dataset/brain_tumor_dataset/healthy/0740.jpg,healthy,0740.jpg
Dataset/brain_tumor_dataset/healthy/1797.jpg,healthy,1797.jpg
Dataset/brain_tumor_dataset/healthy/0143.jpg,healthy,0143.jpg
Dataset/brain_tumor_dataset/healthy/1714.jpg,healthy,1714.jpg
Dataset/brain_tumor_dataset/glioma/0328.jpg,glioma,0328.jpg
Dataset/brain_tumor_dataset/meningioma/1226.jpg,meningioma,1226.jpg
Dataset/brain_tumor_dataset/healthy/1227.jpg,healthy,1227.jpg
Dataset/brain_tumor_dataset/pituitary/0156.jpg,pituitary,0156.jpg
Dataset/brain_tumor_dataset/meningioma/0966.jpg,meningioma,0966.jpg
Dataset/brain_tumor_dataset/healthy/0943.jpg,healthy,0943.jpg
